LANGUAGE=ESPERANTO
abako;abacus
akva;aquatic, water, water-, of water
akvaforto;etching
akvamarino;aquamarine
akvarelo;water-colour
akvario;aquarium
akvedukto;aqueduct
akvero;drop, drop of water
akvilegio;columbine
akvo-;aquatic, water-
akvobubalo;water buffalo, water-buffalo
akvofalo;waterfall
akvokloŝo;diving-bell
akvokreso;watercress
akvolilio;waterlily
akvomelono;water-melon
akvonecesejo;water-closet
akvoriĉa;abounding in water
akvovaporo;vapour
akvumado;watering
akvumi;to irrigate, water
akvumilo;watering-can
al;at, to, toward, towards
al ci;you, to you
al ili;them, to them
al la;the, to the
al mi;to me, to me
al ni;to us, to us
al vi;you, to you
alaranĝi;to adapt, adjust
alarma;alarming
alarmbremso;communication-cord
alarmi;to alarm
alarmilo;alarm
alarmo;alarm
alarmsignalo;alarm, alarm-signal
alarmsonorilo;alarm-bell
alaŭdo;lark
albatroso;albatross
albino;albino
albo;alb
albordiĝa haveno;port of call
albordiĝejo;landing-stage, pier
albordiĝi;to land
albumo;album
alceli;to chase, hunt after, hunt for, pursue
alĉemilo;lady's mantle
aldehido;aldehyde
aldo;contralto, contralto voice
aldone;in addition
aldoni;to add
aldoni akvon al;dilute, weaken
aldonita;accompanying
aldono;appendix, codicil, rider
aldulino;alto, contralto
alegorio;allegory
aleksandra verso;alexandrine
aleo;avenue
alergio;allergy
alero;penthouse, shed
alesti;to be present
alfabeto;alphabet
alfao;alpha
alfiksi;to affix, attach
alfikso;attachment
alflugdirekto;approach path, approach route
alflugi;to approach, fly
alflui;come flocking in, flow towards, rush towards, stream towards
alfluo;high tide
alfronti;confront, face
alfundigi;to deposit
alfundiĝi;to sink
algebro;algebra
alglui;to paste, paste up, placard, post, post up
algluiĝema;sticky
algluiĝi;to stick
algo;alga, seaweed
algoritmo;algorithm
alĝustigi;to adjust, put right
alĝustigo;adjustment
alĥemiisto;alchemist
alĥemio;alchemy
alia;other, another, else
alianco;alliance
alibio;alibi
alie;differently, else
alies;another man's, other people's
aliflanke;on the other hand
aliformigi;transform
aliformigo;recreation, refashioning, regeneration, transformation
aliformiĝo;metamorphosis, transformation
aligatoro;alligator
aliĝi;join
aliĝo;accession
aliigi;to alter, change, turn
aliiĝi;to alter, change
alilandano;alien, foreigner
alilande;abroad
aliloke;elsewhere
aliloken;elsewhere
alimaniere;differently
alimento;alimony
alinei;to indent
alineo;paragraph
alinome;alias, otherwise, otherwise called
alinomita;differently named
alirebla;accessible
aliri;to advance, approach, come on
alirvojo;access road
alitempe;another time
aliteracio;alliteration
aliulo;another, another man
aljuĝado;tender
aljungi;to put
alkala;alkaline
alkaleca;alkaline
alkalo;alkali
alkemilo;lady's mantle
alklimatiĝi;to acclimate, acclimatize
alklimatiĝo;acclimatization
alko;elk, moose
alkohola;alcoholic
alkoholaĵmaniulo;alcoholic
alkoholaĵo;alcohol, booze, liquor, spirits, strong drink
alkoholentenanta;alcoholic
alkoholismo;alcoholism
alkoholisto;alcoholic
alkoholo;alcohol
alkoholtitro;alcoholic content
alkoholulo;alcoholic
alkonformigo;accommodation
alkonformiĝemo;adaptability
alkonformiĝo;accommodate oneself, adapt oneself
alkonstrui;to add
alkovo;alcove, recess
alkroĉi;to hitch on, hook on
alkroĉiĝi;to cling to, get caught on
alkroĉiĝi al;board
alkrustiĝi;to fur
alkrustiĝo;fur, scale
alkudri;to sew, sew on
alkuro;crush
alkutimaĵo;habit, trick
alkutimiĝi;to become accustomed
alligi;moor
alligiteco;attachment
alloga;attractive
allogaĵo;attraction
allogeco;attraction, attractiveness, charm
allogi;to attract, draw
almanako;almanac
almarŝi;to advance, march on
almenaŭ;at least
almeti;to attach, put onto
almezuri;take one's measure for
almozmonaĥo;mendicant friar
almozo;alms
almozordeno;mendicant order
almozpetado;begging
almozpetanto;beggar
almozpeti;to beg
almozpetulo;beggar
almozulejo;almshouse, workhouse
almozulino;beggar-woman
almozulo;beggar
alnaĝi;to be washed ashore
alojo;alloy
alpako;alpaca
alpara;at par
alparolebla;approachable, communicative, get-at-able
alparoli;to address
alpaŝi;to approach, deal with, tackle
alpaŝi al;approach
alpaŝo;approach
alpherbejo;alp, alpine pasture
alpismo;mountaineering
alpkapro;ibex
alpo;alp, mountain pasture
alportado;arrival, arrivals, supply
alporti;to bring, fetch
alpreĝi;to invoke
alproksimigi;to bring close together
alproksimiĝi;to advance, come close, come closer, come on
alproksimiĝo;approach
alproprigi al si;to abstract
alŝovi;to push on, shove on
alŝoviĝi;to draw up to the table, sit down to table
alŝultrigi;to level
alŝultriĝi;to aim, take aim
alta;high, lofty, tall
altaro;altar
altartabulo;altarpiece
alteco;height
alten;into the heights
alteriĝi;to land
alterna;alternate, alternating
alternado;alternation
alternativo;alternative, option
alterne;alternately
alterni;to alternate
alterno;alternation
altiĝanta;rising
altira forto;attraction
altiri;to attract
altklasulo;someone of the upperclass
altkreska;tall
altlernejo;academy
alto;altitude, height
altpreza;pricey
altrudi;force, impose upon
altruismo;altruism
altstatura;lanky, of high stature, tall
aludi;to allude, hint
aludi kalumnie;insinuate
aludo;allusion
alumeto;match
aluminio;aluminium, aluminum
alveni;to arrive, get
alveno;arrival
alveturejo;access, approach, drive, sweep
alveturi;collide, run
alveturigi;to bring, convey, supply
alvoki;to appeal to, invoke
alvoki preĝe;invoke
amabla;dainty, kind, nice, pretty
amalgami;to amalgamate
amando;almond
amantino;lover
amanto;lover
amao;aum
amara;bitter
amaranto;amaranthus
amareco;bitterness
amarigi;to make bitter
amariĝi;to become bitter
amarilido;amaryllis
amasfabriki;to mass produce
amasigi;to amass, heap, pile up, stack
amasiĝo;assembly
amaso;crowd, heap, mass, multitude, pile
amata;loved, beloved
amatino;beloved, loved one, lover, sweetheart, well-beloved
amato;beloved, loved one, lover, sweetheart, well-beloved
amatoreca;amateurish, small-time
amatoro;amateur, fancier
ambasadejo;embassy
ambasado;embassy
ambasadorejo;embassy, embassy building
ambasadoro;ambassador
ambaŭ;both
ambaŭflanken;to both sides
ambicio;ambition
ambigua;ambiguous
amboso;anvil
ambosoĉizilo;hardy
ambro;amber
ambrozio;ambrosia
ambulanco;ambulance, field hospital
amebo;amoeba
amen;amen
amendamento;amendment
amendi;to amend
amendo;amendment
ametisto;amethyst
amfetamino;amphetamine
amfibio;amphibian
amfiteatro;amphitheatre
ami;love
amika;friendly
amikeco;friendship
amikino;friend
amiko;friend
aminda;lovable
amindeco;sweetness
amindo;charm, sweetness
amindumi;court, woo
amnestii;to amnesty, pardon
amnestio;amnesty
amo;love
amoko;amuck
amoniako;ammonia
amonio;ammonia
amorfa;amorphous
amori;to make love
amortizebla;redeemable, repayable
amortizi;to amortize, deaden
amortizilo;shock absorber
amortizo;redemption
ampermetro;ammeter
ampero;ampere
amperometro;ammeter
ampleksa;ample, bulky, extensive
ampleksi;comprise
amplekso;bulk, dimension, extend, size
amplitudo;amplitude
ampolo;bulb
amputi;to amputate
amputo;amputation
amsterdamano;inhabitant of Amsterdam, native of Amsterdam
amuleto;amulet, charm, talisman*
amuza;amusing, entertaining, funny
amuzado;amusement, fun
amuzaĵo;entertainment
amuzi;to amuse
amuziĝi;to enjoy oneself, have a good time
amuzo;amusement, fun
anabaptismo;anabaptism
anagramo;anagram
anakondo;anaconda
anakronismo;anachronism
anala seksumo;anal sex
analfabeto;illiterate
analfabetulo;illiterate
analitika;analytic, analytical
analizi;to analyse
analizisto;analyst, analytical chemist
analizo;analysis
analoga;analogous
analogeco;analogy
analogio;analogy
ananaso;pine-apple, pineapple
anapesto;anapaest
anarkio, anarĥio;anarchy
anaro;adherents, disciples, following, party, supporters
anasa;duck, duck-, duck's, of a duck
anasa ovo;duck egg
anasaĵo;duck, duck meat
anaso;duck
anatemo;anathema, ban, excommunication
anatomia;anatomical
anatomiisto;anatomist
anatomio;anatomy
anĉovo;anchovy
anekdoto;anecdote
aneksa;accessory
aneksado;annexation
aneksi;to annex
anekso;annexation
anemio;anaemia
anemono;anemone
anestezisto;anaesthesist
anestezo;anaesthesia
angilo;eel
angino;angina, quinsy
anglamika;pro-English
angle;in English
anglismo;anglicism
angoro;agony, anguish, fear
angorŝvito;cold sweat
angula;gaunt
angulhava;angular
angulo;angle, corner
anĝela;angelic
anĝelino;angel, female angel
anĝelo;angel
anĝeluso;angelus
anĥo;ankh
aniĝi;to accede
anilino;aniline
animala;animal
animala odoro;animal smell
animalo;animal
animi;to animate
animo;soul
animstato;mood
anizo;anise
anizosukeraĵo;candy coated aniseed
anjono;anion
ankaŭ;also, likewise, too
ankoraŭ;still, yet
ankoraŭ ne;not yet
ankoraŭfoje;once more
ankrejo;anchorage, moorage, mooring
ankro;anchor
anksieco;anxiety
ano;member, supporter
anodo;anode
anomalio;abnormity, anomaly
anoncado;announcement, notification, notice
anoncanto;advertiser
anonci;to advertise, announce, give notice
anonci laŭtvoĉe;call over
anoncistino;announcer
anoncisto;announcer
anonco;ad, advertisement
anonima;anonymous
anonima kompanio;limited liability company
anonima societo;limited liability company
anonimeco;anonymity
anonimulo;anonymous writer
ansero;goose
anservice;single file
anso;handle
anstataŭ;instead of
anstataŭa;deputy
anstataŭe;instead
anstataŭi;take the place of
anstataŭigi;to replace, substitute
anstataŭo;replacement, substitution
antagonisto;adversary, opponent
antaŭ ...;... ago
antaŭ ĉio;above all, especially
antaŭ nelonge;recently
antaŭ ol;before, previous to
antaŭa;former, last, previous, prior
antaŭa flanko;front
antaŭa lampo;headlamp
antaŭa nomo;first name
antaŭa piedo;foreleg, front paw
antaŭaĵo;antecedent
antaŭbrako;lower-arm
antaŭdati;to antedate
antaŭdiluva;antediluvian, very ancient
antaŭdiri;forecast, foretell, prophesy
antaŭdiristino;fortune teller
antaŭdiristo;fortune teller
antaŭe;ahead, formerly, previously
antaŭen;ahead, foreward, on
antaŭeniri;go forward
antaŭfabrikita domo;prefabricated house, pre-fabricated house
antaŭgardi;to guard, preserve, protect, save
antaŭĝoji;look forward
antaŭĝoji pri;look forward to
antaŭhieraŭ;the day before yesterday
antaŭi;to precede
antaŭiranto;precursor
antaŭiri;to precede
antaŭjuĝo;prejudice
antaŭmanĝaĵo;entrée
antaŭmendi;to reserve
antaŭmendo;booking
antaŭmeti;to serve
antaŭmetistino;waitress
antaŭnomo;first name
antaŭo;fore
antaŭo posten;back to front
antaŭparolo;foreword
antaŭplano;foreground
antaŭsento;presentiment
antaŭsigno;indication, omen, portent, precursor, presage, sign
antaŭtagmeze;a.m.
antaŭtegmento;penthouse, shed
antaŭtuko;apron
antaŭurbo;suburb
antaŭvenanto;precursor
antaŭvidebla;foreseeable, measurable
antaŭvidi;foresee
antaŭzorga;thoughtful
antaŭzorgo;thoughtfulness
antecedento;antecedent
antemo;corn chamomile
anteno;antenna
antibiotiko;antibiotic
anticipi;to anticipate, think ahead
anticipo;anticipation
antidoto;antidote
antikoncipa;contraceptive
antikorpo;antibody
antikva;ancient, antique
antikva tempo;antiquity
antikvaĵisto;antique dealer
antilopo;antelope
antimono;antimony
antipatio;aversion, dislike
antipodo;antipode
antisemita;anti-Semitic
antisemitismo;anti-Semitism
antisemito;anti-Semite
antisepsa;antiseptic
antisepsilo;antiseptic
antitezo;antithesis
antologio;anthology
antracito;anthracite
antropologio;anthropology
antropologo;anthropologist
anuitato;instalment, repayment
anuso;anus
aorto;aorta
apaĉo;apache, hood, ruffian
aparatadaptilo;device driver
aparataro;equipment
aparato;apparatus, device, set
aparta;apart, particular, separate, special
apartamento;apartment, flat
aparte;apart, separately
aparte de;apart from
aparteni;to belong to
apartigi;to divide, separate
apartigo;separation, partition
apatio;apathy
apelacianto;appellant
apelacii;to appeal
apelacii al;appeal to, make an appeal to
apelacio;appeal
apelo;appeal
apenaŭ;barely, hardly, only just, scarcely
apendicito;appendicitis
apendico;appendix
aperi;to appear, emerge, perform
aperitivo;dram, nip, peg, snifter, snorter
apero;appearance
aperteco;frankness, openness
aperturo;aperture, opening
apetita;appetizing
apetitiga;appetizing
apetito;appetite
apio;celery
aplaŭdado;acclamation
aplaŭdi;to acclaim, applaud, clap
aplaŭdo;acclaim, acclamation, approval
aplikado;application, employment, use
aplikaĵo;application
apliki;to apply, practice
apliko;application, employment, use
aplombo;aplomb, self-assurance
apodikta;apodictic
apogi;to lean, support, sustain
apogi sin;lean
apogi sin al;lean against
apogilo;prop, support
apogseĝo;armchair, arm-chair
apokalipsa;apocalyptic
apokrifa;apocryphal
apologio;apology
apostata;apostate
apostatiĝi;to apostatize
apostato;apostate
apostola;apostolic
apostola patro;church-father
apostoleco;apostleship, apostolate
apostolo;apostle
apostrofo;apostrophe
apotekisto;chemist
apoteko;chemist's shop, drugstore
apoteozo;apotheosis
apra;of a wild boar
apreci;to appreciate
apreco;appreciation
apreti;to finish
apreturi;to finish
apreturo;starch
aprezi;to appreciate
aprezo;appreciation
aprido;young of a wild boar
apro;wild boar
aprobi;to approve
aprobo;acclaim, approval
apud;at, beside, by, near, nearby, near to, next to
apuda;adjacent
apudaĵo;neighbourhood, vicinity
apude;nearby
apudeco;proximity
apudesti;to be present
apudiĝi;to approach, come closer
arabe;in Arabic
arabesko;arabesque
arakido;peanut
arako;rack, arrack
aranea;of a spider
araneaĵo;spiderweb
araneo;spider
aranĝi;to arrange, fix up
aranĝi florojn;arrange flowers
aranĝo;accommodation, arrangement
araŭkario;araucaria, monkey puzzle
arba;arboreal, tree, tree-, of a tree
arbaro;forest, woods
arbarvojeto;forest path
arbitra;arbitrary
arbitracianto;arbiter, arbitrator, referee, umpire
arbitracio;arbitration
arbitre;arbitrarily
arbitro;arbiter, arbitrator
arbo;tree
arboŝelo;bark
arbotrunko;stem, trunk, tree-trunk
arbustaro;shrubbery
arbusto;bush, shrub
arbuto;arbutus fruit
arbutujo;arbutus, strawberry tree
arda;ablaze, ardent
ardeo;heron
ardezotabulo;slate
ardi;to glow, glow with heat
ardo;glow, heat, passion
areno;arena
areo;area
arestado;apprehension, arrest, detention
aresti;to arrest
arestito;arrested person, prisoner
aresto;apprehension, arrest, detention
argano;crane
argila;earthen, clay, stone
argilaĵo;crockery, earthenware, pottery
argilo;clay
argono;argon
argumentado;argumentation
argumenti;to maintain
argumento;argument, plea
arĝenta;silver
arĝentkolora;silver-coloured
arĝento;silver
ariergardo;rear, rearguard
ariĝi;form a group
ario;air, aria
aristokrata;aristocratic
aristokrataro;aristocracy
aristokratio;aristocracy
aristokrato;aristocrat
aritmetiko;arithmetic
arkadaro;portico
arkaika, arĥaika;archaic
arkaismo, arĥaismo;archaism
arkaĵo;arch
arkeo;ark
arkeologia;archaeological
arkeologiisto;archaeologist
arkeologio, arĥeologio;archaeology
arkeologo, arĥeologo;archaeologist
arkeopterigo;archeopteryx
arkiduklando;archduchy
arkiduko;archduke
arkipelago, arĥipelago;archipelago
arkitekto, arĥitekto;architect
arkitektura;architectonic, architectural
arkitekturo, arĥitekturo;architecture
arkivisto, arĥivisto;archivist, keeper of the records
arkivo, arĥivo;archive
arko;arc, bow
arlekeno;buffoon, jester
armaturo;armature, brace, cramp-iron
armea;military
armea pastro;chaplain, army chaplain, padre
armeo;army
armi;to arm
armilejo;armoury, arsenal
armilo;weapon
arniko;arnica
aro;bevy, collection, group, heap, herd, set, are, square decametre
aroga;arrogant
aroganta;arrogant
aroganteco;arrogance, assumingness, overbearingness, presumption
aroki;to castle
aromo;aroma, flavour
arondismento;district
aroruto;arrowroot
arsenalo;armoury, arsenal
arseniko;arsenic
arsenoksido;arsenic
arta;artificial, artistic
artaĵo;work of art
artefarita;artificial
artefarita satelito;earth satellite
artemizio;absinth
arterio;artery
arteriosklerozo;arteriosclerosis
arteza;artesian
artgalerio;art gallery
artifiko;subterfuge, trick, trickery
artiki;to articulate
artikigi;to articulate
artiklo;article, commodity
artiko;joint
artikolo;article
artilerio;artillery
artisto;artist
artiŝoko;artichoke
arto;art
artrito;arthritis
arumo;arum
asafetido;asafoetida
asbesto;asbestos
ascendi;go up
asekuri;to insure
asekuristo;insurer
asekuro;insurance
asembleo;assembly
asemblero;assembler
asepsa;aseptic
aserti;to assert, state
asfalti;to asphalt
asfalto;asphalt
asfodelo;asphodel
asigni;to assign
asigno;summons
asimilado;assimilation
asimili;to assimilate
asimilo;assimilation
asistado;assistance, help
asistantino;assistant, lady help
asistanto;aid, assistant, helper
asisti;to abet, aid, assist, help
asisto;help
asketa;ascetic
askorbata acido;ascorbic acid, vitamin C
aso;ace
asociano;partner
asociito;partner
asocio;association
asparago;asparagus
aspekti;to appear, look
aspektigi bona;become
aspekto;appearance, aspect
aspergi;to sprinkle, water
aspidistro;aspidistra
aspiri;to aspire, aspire to, hope for
aspirino;aspirin
aspiro;ambition, aspiration
astateno;astatine
asterisko;asterisk
astero;aster
asteroido;asteroid
astma;asthmatic, wheezy
astmeco;asthma, shortness of breath, wheeziness
astmo;asthma
astmulo;asthmatic, asthmatic patient
astro;heavenly body
astrologiisto;astrologer
astrologio;astrology
astrologo;astrologer
